ID,Z,L,N,treatment,GSH_nM_mL
C13,No,No,No,C,0.8434
C14,No,No,No,C,0.3836
C15,No,No,No,C,1.0706
C6,No,No,No,C,1.805
C17,No,No,No,C,12.0452
C18,No,No,No,C,0.355
L13,No,Yes,No,L,11.4874
L14,No,Yes,No,L,1.61
L15,No,Yes,No,L,6.3898
L16,No,Yes,No,L,0.138
L17,No,Yes,No,L,2.846
L18,No,Yes,No,L,14.6096
N13,No,No,Yes,N,12.0964
N14,No,No,Yes,N,8.8934
N15,No,No,Yes,N,0.6688
N16,No,No,Yes,N,10.9616
N17,No,No,Yes,N,2.9096
N18,No,No,Yes,N,1.1508
Z13,Yes,No,No,Z,0.1658
Z14,Yes,No,No,Z,1.0758
Z15,Yes,No,No,Z,1.9626
Z16,Yes,No,No,Z,0.7848
Z17,Yes,No,No,Z,0.1696
Z18,Yes,No,No,Z,4.5028
