metaboanalyst,,,xcms,
CON 13,1_Con,,X190815003,CON
CON 14,1_Con,,X190815016,CON
CON 15,1_Con,,X190815022,CON
CON 16,1_Con,,X190815028,CON
CON 17,1_Con,,X190815033,CON
CON 18,1_Con,,X190815042,CON
L 13,3_L,,X190815015,L
L 14,3_L,,X190815027,L
L 15,3_L,,X190815031,L
L 16,3_L,,X190815039,L
L 17,3_L,,X190815046,L
L 18,3_L,,X190815050,L
LN 13,7_LN,,X190815004,LN
LN 14,7_LN,,X190815009,LN
LN 15,7_LN,,X190815014,LN
LN 16,7_LN,,X190815025,LN
LN 17,7_LN,,X190815030,LN
LN 18,7_LN,,X190815037,LN
N 13,4_N,,X190815006,N
N 14,4_N,,X190815011,N
N 15,4_N,,X190815018,N
N 16,4_N,,X190815024,N
N 17,4_N,,X190815032,N
N 18,4_N,,X190815036,N
Z 13,2_Z,,X190815005,Z
Z 14,2_Z,,X190815008,Z
Z 15,2_Z,,X190815017,Z
Z 16,2_Z,,X190815040,Z
Z 17,2_Z,,X190815047,Z
Z 18,2_Z,,X190815051,Z
ZL 15,5_ZL,,X190815007,ZL
ZL 16,5_ZL,,X190815026,ZL
ZL 17,5_ZL,,X190815038,ZL
ZL 18,5_ZL,,X190815048,ZL
ZLN 13,8_ZLN,,X190815010,ZLN
ZLN 14,8_ZLN,,X190815019,ZLN
ZLN 15,8_ZLN,,X190815021,ZLN
ZLN 16,8_ZLN,,X190815029,ZLN
ZLN 17,8_ZLN,,X190815035,ZLN
ZLN 18,8_ZLN,,X190815043,ZLN
ZN 13,6_ZN,,X190815002,ZN
ZN 14,6_ZN,,X190815013,ZN
ZN 15,6_ZN,,X190815020,ZN
ZN 16,6_ZN,,X190815041,ZN
ZN 17,6_ZN,,X190815044,ZN
ZN 18,6_ZN,,X190815049,ZN
